xflr5 v6.57

Plane name :        Wing
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.179482   0.000534   0.020127   0.020661   0.000000  -0.000000  -0.074329  -0.000000   0.000000   20.0000     0.1027
   -4.500     0.000   0.228470   0.000861   0.020148   0.021009   0.000000  -0.000000  -0.065083  -0.000000   0.000000   20.0000     0.0872
   -4.000     0.000   0.277441   0.001267   0.020237   0.021504   0.000000  -0.000000  -0.055816   0.000000   0.000000   20.0000     0.0771
   -3.500     0.000   0.326388   0.001751   0.020368   0.022118   0.000000  -0.000000  -0.046529   0.000000  -0.000000   20.0000     0.0701
   -3.000     0.000   0.375306   0.002312   0.020547   0.022860   0.000000  -0.000000  -0.037225   0.000000  -0.000000   20.0000     0.0649
   -2.500     0.000   0.424189   0.002952   0.020761   0.023713  -0.000000  -0.000000  -0.027907   0.000000   0.000000   20.0000     0.0608
   -2.000     0.000   0.473032   0.003670   0.021022   0.024692  -0.000000  -0.000000  -0.018576   0.000000   0.000000   20.0000     0.0577
   -1.500     0.000   0.521827   0.004464   0.021315   0.025779  -0.000000  -0.000000  -0.009236   0.000000   0.000000   20.0000     0.0551
   -1.000     0.000   0.570571   0.005336   0.021664   0.027000  -0.000000  -0.000000   0.000111   0.000000   0.000000   20.0000     0.0530
   -0.500     0.000   0.619257   0.006284   0.022046   0.028330  -0.000000  -0.000000   0.009461   0.000000   0.000000   20.0000     0.0512
    0.000     0.000   0.667879   0.007309   0.022503   0.029812  -0.000000  -0.000000   0.018813   0.000000   0.000000   20.0000     0.0496
    0.500     0.000   0.716431   0.008408   0.023000   0.031408  -0.000000  -0.000000   0.028163   0.000000   0.000000   20.0000     0.0483
    1.000     0.000   0.764909   0.009583   0.023615   0.033198  -0.000000  -0.000000   0.037509   0.000000   0.000000   20.0000     0.0471
    1.500     0.000   0.813305   0.010832   0.024314   0.035146  -0.000000  -0.000000   0.046847   0.000000   0.000000   20.0000     0.0461
    2.000     0.000   0.861616   0.012155   0.025152   0.037307  -0.000000  -0.000000   0.056176   0.000000  -0.000000   20.0000     0.0452
    2.500     0.000   0.909834   0.013550   0.026183   0.039734  -0.000000  -0.000000   0.065491   0.000000   0.000000   20.0000     0.0444
    3.000     0.000   0.957955   0.015018   0.027432   0.042450  -0.000000  -0.000000   0.074791   0.000000   0.000000   20.0000     0.0437
    3.500     0.000   1.005972   0.016556   0.029016   0.045573  -0.000000  -0.000000   0.084073   0.000000  -0.000000   20.0000     0.0430
    4.000     0.000   1.053881   0.018165   0.031171   0.049336  -0.000000  -0.000000   0.093334   0.000000   0.000000   20.0000     0.0424
    4.500     0.000   1.101676   0.019843   0.034344   0.054187  -0.000000  -0.000000   0.102570   0.000000  -0.000000   20.0000     0.0419
    5.000     0.000   1.149351   0.021589   0.039872   0.061461  -0.000000  -0.000000   0.111778   0.000000   0.000000   20.0000     0.0414
    5.500     0.000   1.196901   0.023402   0.053816   0.077218  -0.000000  -0.000000   0.120947   0.000000   0.000000   20.0000     0.0410
    6.000     0.000   1.244320   0.025281   0.072473   0.097755  -0.000000  -0.000000   0.130097   0.000000   0.000000   20.0000     0.0405
    6.500     0.000   1.291604   0.027225   0.078502   0.105727  -0.000000  -0.000000   0.139278   0.000000   0.000000   20.0000     0.0402
    7.000     0.000   1.338746   0.029232   0.079381   0.108613  -0.000000  -0.000000   0.148463   0.000000   0.000000   20.0000     0.0398


