xflr5 v6.57

Plane name :        tail
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.327574   0.008075   0.017630   0.025705   0.000000  -0.000000  -0.077334   0.000000   0.000000   20.0000     0.0202
   -4.500     0.000  -0.295008   0.006549   0.017507   0.024056   0.000000  -0.000000  -0.069666   0.000000   0.000000   20.0000     0.0202
   -4.000     0.000  -0.262382   0.005180   0.017415   0.022595   0.000000  -0.000000  -0.061977   0.000000   0.000000   20.0000     0.0202
   -3.500     0.000  -0.229702   0.003970   0.017328   0.021298   0.000000  -0.000000  -0.054270   0.000000   0.000000   20.0000     0.0202
   -3.000     0.000  -0.196975   0.002919   0.017263   0.020182   0.000000  -0.000000  -0.046547   0.000000   0.000000   20.0000     0.0202
   -2.500     0.000  -0.164208   0.002028   0.017221   0.019249   0.000000  -0.000000  -0.038810   0.000000   0.000000   20.0000     0.0202
   -2.000     0.000  -0.131407   0.001299   0.017180   0.018479   0.000000  -0.000000  -0.031062   0.000000   0.000000   20.0000     0.0202
   -1.500     0.000  -0.098579   0.000731   0.017153   0.017884   0.000000  -0.000000  -0.023305   0.000000   0.000000   20.0000     0.0202
   -1.000     0.000  -0.065731   0.000325   0.017155   0.017480   0.000000  -0.000000  -0.015540   0.000000   0.000000   20.0000     0.0202
   -0.500     0.000  -0.032869   0.000081   0.017156   0.017238   0.000000  -0.000000  -0.007771  -0.000000   0.000000   20.0000     0.0202
    0.000     0.000   0.000000   0.000000   0.017159   0.017159   0.000000   0.000000   0.000000   0.000000   0.000000   20.0000     0.0000
    0.500     0.000   0.032869   0.000081   0.017203   0.017285   0.000000   0.000000   0.007771   0.000000   0.000000   20.0000     0.0202
    1.000     0.000   0.065731   0.000325   0.017247   0.017572   0.000000   0.000000   0.015541  -0.000000   0.000000   20.0000     0.0202
    1.500     0.000   0.098579   0.000731   0.017292   0.018023   0.000000   0.000000   0.023305  -0.000000   0.000000   20.0000     0.0202
    2.000     0.000   0.131407   0.001299   0.017368   0.018667   0.000000   0.000000   0.031063   0.000000   0.000000   20.0000     0.0202
    2.500     0.000   0.164208   0.002028   0.017458   0.019486   0.000000   0.000000   0.038812   0.000000   0.000000   20.0000     0.0202
    3.000     0.000   0.196975   0.002919   0.017548   0.020467   0.000000   0.000000   0.046550   0.000000   0.000000   20.0000     0.0202
    3.500     0.000   0.229702   0.003970   0.017667   0.021636   0.000000   0.000000   0.054274   0.000000   0.000000   20.0000     0.0202
    4.000     0.000   0.262382   0.005180   0.017807   0.022987   0.000000   0.000000   0.061983   0.000000   0.000000   20.0000     0.0202
    4.500     0.000   0.295008   0.006549   0.017953   0.024502   0.000000   0.000000   0.069673   0.000000   0.000000   20.0000     0.0202
    5.000     0.000   0.327574   0.008075   0.018134   0.026209   0.000000   0.000000   0.077344   0.000000   0.000000   20.0000     0.0202
    5.500     0.000   0.360073   0.009758   0.018342   0.028100   0.000000   0.000000   0.084992   0.000000   0.000000   20.0000     0.0202
    6.000     0.000   0.392498   0.011596   0.018577   0.030172   0.000000   0.000000   0.092616   0.000000   0.000000   20.0000     0.0203
    6.500     0.000   0.424843   0.013587   0.019005   0.032592   0.000000   0.000000   0.100219   0.000000   0.000000   20.0000     0.0203
    7.000     0.000   0.457101   0.015731   0.019582   0.035312   0.000000   0.000000   0.107796   0.000000   0.000000   20.0000     0.0203
    7.500     0.000   0.489266   0.018025   0.020356   0.038381   0.000000   0.000000   0.115349  -0.000000   0.000000   20.0000     0.0203
    8.000     0.000   0.521332   0.020468   0.021751   0.042219   0.000000   0.000000   0.122893  -0.000000   0.000000   20.0000     0.0203
    8.500     0.000   0.553292   0.023058   0.023499   0.046557   0.000000   0.000000   0.130416  -0.000000   0.000000   20.0000     0.0203
    9.000     0.000   0.585140   0.025793   0.025593   0.051386   0.000000   0.000000   0.137918  -0.000000   0.000000   20.0000     0.0203
    9.500     0.000   0.616870   0.028670   0.028502   0.057173   0.000000   0.000000   0.145421  -0.000000   0.000000   20.0000     0.0203
   10.000     0.000   0.648475   0.031689   0.031922   0.063611   0.000000   0.000000   0.152909  -0.000000   0.000000   20.0000     0.0204
   10.500     0.000   0.679950   0.034845   0.046862   0.081707   0.000000   0.000000   0.160974  -0.000000   0.000000   20.0000     0.0204
   11.000     0.000   0.711287   0.038138   0.088618   0.126756   0.000000   0.000000   0.170417  -0.000000   0.000000   20.0000     0.0204
   11.500     0.000   0.742482   0.041564   0.114330   0.155893   0.000000   0.000000   0.178972  -0.000000   0.000000   20.0000     0.0204


